date,team,team_raw,1
2026-01-13,Premier League,Premier League,Premier League
2026-01-13,Championship,Championship,stats
2026-01-13,League One,League One,stats
2026-01-13,League Two,League Two,stats
2026-01-13,National League,National League,stats
2026-01-13,National L. North,National L. North,stats
2026-01-13,National L. South,National L. South,stats
2026-01-13,Isthmian league,Isthmian league,stats
2026-01-13,Northern league,Northern league,stats
2026-01-13,Southern Central,Southern Central,stats
2026-01-13,Southern South,Southern South,stats
2026-01-13,Premier League 2,Premier League 2,stats
2026-01-13,Women Super League,Women Super League,stats
2026-01-13,WSL 2,WSL 2,stats
2026-01-13,Professional Development League,Professional Development League,stats
