date,team,team_raw,1
2025-12-30,Premier League,Premier League,Premier League
2025-12-30,Championship,Championship,stats
2025-12-30,League One,League One,stats
2025-12-30,League Two,League Two,stats
2025-12-30,National League,National League,stats
2025-12-30,National L. North,National L. North,stats
2025-12-30,National L. South,National L. South,stats
2025-12-30,Isthmian league,Isthmian league,stats
2025-12-30,Northern league,Northern league,stats
2025-12-30,Southern Central,Southern Central,stats
2025-12-30,Southern South,Southern South,stats
2025-12-30,Premier League 2,Premier League 2,stats
2025-12-30,Women Super League,Women Super League,stats
2025-12-30,WSL 2,WSL 2,stats
2025-12-30,Professional Development League,Professional Development League,stats
