date,team,team_raw,1
2026-01-17,Premier League,Premier League,Premier League
2026-01-17,Championship,Championship,stats
2026-01-17,League One,League One,stats
2026-01-17,League Two,League Two,stats
2026-01-17,National League,National League,stats
2026-01-17,National L. North,National L. North,stats
2026-01-17,National L. South,National L. South,stats
2026-01-17,Isthmian league,Isthmian league,stats
2026-01-17,Northern league,Northern league,stats
2026-01-17,Southern Central,Southern Central,stats
2026-01-17,Southern South,Southern South,stats
2026-01-17,Premier League 2,Premier League 2,stats
2026-01-17,Women Super League,Women Super League,stats
2026-01-17,WSL 2,WSL 2,stats
2026-01-17,Professional Development League,Professional Development League,stats
